Status,Name,Do Date,Closing Date,Difficulty Level?,+/-,Difficulty #,Multiplier,Punctuality,Summary,Impact,Type,--- Math ---,Base Gold,Gold Reward,Tag + Difficulty + Priority,Tags
Ready to Start,Coursera,"September 17, 2020",,3,0,0,0,🚨 Late 914 day(s)!,"Public Speaking ",Medium 👊,Project,⚠️ Ignore Below Unless You Know What You Are Doing ⚠️,50,+150 💰,Medium 👊 | 🔼3 | 🕐 25 Min Task (YA),Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv
Backlog,Test 3,,,10,0,0,0,⚠ No Target,,High 👊,Goal,⚠️ Ignore Below Unless You Know What You Are Doing ⚠️,50,+500 💰,High 👊 |  | | 🔼10 | 🕐 25 Min Task (YA),Gamification%20Tags%205f884438ad97498c930ef2069042efe0/%F0%9F%95%90%2025%20Min%20Task%20(YA)%20fe7a620f6e8f4844bcc63e86f95a0b76.csv
