Status,Name,Do Date,Closing Date,Difficulty Level?,+/-,Difficulty #,Multiplier,Punctuality,Summary,Impact,Type,--- Math ---,Base Gold,Gold Reward,Tag + Difficulty + Priority,Tags
Ready to Start,Coursera,"September 17, 2020",,3,0,0,0,🚨 Late 914 day(s)!,"Public Speaking ",Medium 👊,Project,⚠️ Ignore Below Unless You Know What You Are Doing ⚠️,50,+150 💰,Medium 👊 | 🔼3 | 🕐 25 Min Task (YA),Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv
Backlog,Test 3,,,10,0,0,0,⚠ No Target,,High 👊,Goal,⚠️ Ignore Below Unless You Know What You Are Doing ⚠️,50,+500 💰,High 👊 |  | | 🔼10 | 🕐 25 Min Task (YA),Gamification%20Tags%200d87d57a25a04a88be9d5fe1f26005c6/%F0%9F%95%90%2025%20Min%20Task%20(YA)%200243cb43b0e641d5bcbe9c338ec34728.csv
